Denominazione,Cronologia,s_l_m_,Ubicazione,Stato_Cons,Gestore,ico_image,Uso,weblink,Tipologia,note_,longitude,latitude,PRO_COM_T
Forte Gonzaga,1540 ca,160 m,Colle del Tirone o Montepiselli,Buono,Comune di Messina,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/0_z.jpg,Non fruibile,it.wikipedia.org/wiki/Forte_Gonzaga,Fortezza,Il progetto si deve ad A. Ferramolino. Presenta una sagoma bassa a pianta stellata con sei bastioni angolari di forma triangolare.Il perimetro è circondato da fossati. Difendeva la città dagli attacchi di terra.,15.540657190148316,38.18829362567661,83048
Forte Garcia,1567,0 m,Porto di Augusta,Discreto,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/1_z.jpg,Non fruibile,www.augusta-framacamo.net/monumenti-forti.asp,Fortezza,"Realizzato dal vicerè Garcia de Toledo su incarico del re Filippo II, all'interno del golfo di Augusta. Nel 1743 fece parte del lazzaretto di Punta Cugno; nel 1836 fu sanatorio e poi Ospedale Marittimo. Nel '900 è stato deposito della Marina Milita",15.203441074161148,37.23577029120655,89001
Forte Vittoria,1567,0 m,Porto di Augusta,Ottimo,Autorità Portuale di Augusta,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/2_z.jpg,Fruibile,www.augusta-framacamo.net/monumenti-forti.asp,Fortezza,Realizzato dal vicerè Garcia de Toledo su incarico del re Filippo II. Nel 1743 divenne lazzaretto con forno crematoio; nel 1836 fu sanatorio e poi Ospedale Marittimo. Nel 2009 il forte rastaurato è stato riconsegnato alla città.,15.205232036182746,37.23622511589422,89001
Forte di Capo Passero,1603-1607,21 m,Isola di Capo Passero,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/3_z.jpg,Non visitabile,www.icastelli.it/castle-1237841138-fortezza_sullisola_di_capo_passero-it.php,Fortezza,Fu realizzato per volontà del re Filippo II. Restaurato ed inaugurato nel 2009,15.151600403112557,36.68846609891151,89020
Forte di San Giacomo,1500 ca,0 m,Isola di Favignana,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/4_z.jpg,Ex penitenziario,www.egadivacanze.it/favignana/castelli/il-castello-di-san-giacomo.html,Fortezza,"Fu realizzato per volontà del re Ferdinando II di fortificare l'isola, su un castello abbandonato. Un fossato ne circonda il perimetro e due ponti levatoi lo collegano all'isola.",12.328585041168152,37.92911185011163,81009
Forte di Capo Troia,1600 ca,161 m,Isola di Marettimo,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/5_z.jpg,Museo delle carceri e Oss. per la Foca Monaca,www.marettimari.it/storia-storie/54-inaugurazione-castello-punta-troia.html,Fortezza,"Fu realizzato sulle fondamenta di una torre di avvistamento, fortificata da Ruggero II ed adibita dagli Spagnoli a bagno penale. Dal 1700 al 1844 fu carcere per prigionieri politici.",12.063779908912212,37.99214685278156,81009
Real Cittadella Spagnola,1679,0 m,Penisola di San Ranieri,Buono,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/6_z.jpg,Visitabile,www.messinafortificata.it/fortificazioni-antiche/real-cittadella/la-real-cittadella.html,Fortezza,Fu progettata da C.de Grunembergh per integrare il sistema difensivo delle altre fortezze spagnole. Dopo il terremoto del 1908 fu in parte rasa al suolo. Pianta pentagonale con bastioni angolari poligonali circondata da un fossato verso terra.,15.56730391626679,38.18831590126344,83048
Forte San Salvatore,1537,0 m,Penisola di San Ranieri,Ottimo,Demanio Militare,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/7_z.jpg,Zona interdetta,www.messinastorica.it/pagina_2.html#ssalvatore,Fortezza,"Realizzato da A. Ferramolino per volere di Carlo V a difesa del porto di Messina, ingloba l'antica torre di Sant'Anna ed il successivo monastero del San Salvatore. E' composto da tozzi bastioni che ospitavano micidiali artiglierie.",15.562859384999651,38.19653064662215,83048
Forte dei Cavalli,1889,345 m ca,Montegallo_Larderia,Ottimo,Associazione Zancle,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/0.jpg,Museo Storico delle Fortificazioni dello Stretto,www.messinafortificata.it/forti-umbertini/cavalli/forte-cavalli.html/www.fortecavalli.it,Batteria da Costa,Difendeva lo Stretto dalle incursioni dallo Ionio. Ha un ingresso centrale a ponte levatoio sul fossato. Era munito di due cannoni e otto piazzole per obice,15.506384865317829,38.13330851364076,83048
Forte Ogliastri,1888,100 m ca,Tremonti Messina,Buono,Coop Scirin-Onlus,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/1.jpg,Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/ogliastri/forte-ogliastri.html,Batteria da Costa Ogliastri,E' la struttura piàù bassa e vicina alla costa (380 m ca).Ha un fossato ed un ingresso a ponte levatoio sulla sinistra. E' munito di sei postazioni per obice,15.557106908536287,38.21150059080557,83048
Forte Castellaccio,XVI sec,145 m,Gravitelli,Accettabile,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/2.jpg,Abbandonato,www.messinafortificata.it/fortificazioni-antiche/i-castelli/castellaccio.html,Fortezza,Fortezza a pianta quadrata con quattro bastioni angolari ha originepiù antiche rispetto alla struttura attualmente visibile alla quale mise mano anche l'ingegnere militare Antonio Ferramolino.,15.54291809155313,38.19607904999084,83048
Forte San Jachiddu,1889,330 m,Ritiro Messina,Ottimo,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/3.jpg,Parco ecologico/Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/san-jachiddu/forte-san-jachiddu.html,Batteria da Costa San Jachiddu,"Posto a 2200 m dalla costa, difendeva il porto da nord. Possiede un fossato ed un ingresso centrale a ponte levatoio. Era munito di sei postazioni per obice.",15.53955186074499,38.22336791046354,83048
Forte Schiaffino,1889,650 m ca,Santa Lucia sopra Contesse,Buono,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/4.jpg,Ex canile,www.messinafortificata.it/forti-umbertini/schiaffino/forte-schiaffino.html,Batteria da Costa Monte Giulitta,Difendeva il porto a sud e la parte meridionale dello Stretto.Era munito di un fossato ed un ingresso a ponte levatoio. Possiede quattro postazioni per quattro cannoni.,15.517684186669827,38.15159977337856,83048
Forte Petrazza,1888,230 m ca,Tra Camaro Superiore e Bordonaro,Discreto,Parco Sociale Forte Petrazza,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/5.jpg,Eventi socio-culturali,www.messinafortificata.it/i-forti-umbertini/petrazza/forte-petrazza.html,Batteria da Costa Pietrazza,"Costruito a 2550 m.ca dalla costa a difesa del porto e dell'area centrale dello stretto; non è circondato da fossato; possiede un ingresso, quattro postazioni per cannone e sei per obice",15.52819505686772,38.18178141777832,83048
Forte Masotto,1884,415 m,Curcuraci,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/6.jpg,Deposito armi,www.messinafortificata.it/forti-umbertini/masotto/forte-masotto.html,Batteria da Costa Polveriera,"Costruita con la funzione di polveriera,è seconda tra le fortificazioni umbertine per dimensioni. Ha un fossato, due ingressi e dieci postazioni per obice",15.560947029495004,38.25924712257135,83048
Forte Crispi,1887,360 m,Portella Arena,In rovina,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/7.jpg,Abbandonato,www.messinafortificata.it/forti-umbertini/crispi/forte-crispi.html,Batteria da costa Menaja,Posto a difesa sia dello Stretto che del porto di messina possedeva un armamento di otto obici,15.561448087509032,38.24054718456172,83048
Forte Serra La Croce,1889,270 m,Curcuraci,Ottimo,Service 95 Soc.Coop. Sociale,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/8.jpg,Eventi socio-culturali,www.messinafortificata.it/forti-umbertini/serra-la-croce/forte-serra-la-croce.html,Batteria da Costa Serra della Croce,Controllava il versante tirrenico dello Stretto da Capo Calavà fino a Punta Faro. E' difeso da un fossato; possiede un ingresso con ponte levatoio. Possiede quattro postazioni per cannone,15.571588560746108,38.268899594298354,83048
Forte Monte dei Centri,1889,315 m,Salice,Ottimo,Azienda Agricola La Zagara Coop.Giovanile A.R.L.,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/9.jpg,Visitabile,www.messinafortificata.it/forti-umbertini/monte-dei-centri/forte-monte-dei-centri.html,Batteria di Monte dei Centri,Dista dalla costa tirrenica 2700 m.; è circondato da un fossato guardato da due caponiere; possiede un ingresso a ponte levatoio e quattro piazzole semicircolare per cannone,15.49284390548689,38.251503518660414,83048
Forte Campone,1889,500 m ca,Calvaruso,Ottimo,Demanio,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/10.jpg,Inattivo,www.messinafortificata.it/forti-umbertini/campone/forte-campone.html,Batteria di Monte Campone,"Posto a 3750 m dalla costa tirrenica; costruito su due livelli collegati da rampa è circondato da fossato, con un ingresso, All'interno sono otto piazzole per cannoni",15.461440826807456,38.20587488349884,83105
Forte Puntal Ferraro,1889,560 m,Colli San Rizzo,Ottimo,,http://gis.osservatorioturistico.sicilia.it/doc/foto/castelli/ico/11.jpg,Museo iconografico delle batterie umbertine,www.messinafortificata.it/forti-umbertini/puntal-ferraro/forte-puntal-ferraro.html,Batteria di Puntal Ferraro,Posto a 6.500 m ca dalla costa difendeva il porto di Milazzo sul versante tirrenico. Ha un ingresso con ponte levatoio sul fossat e sei postazioni per cannone,15.499238050486154,38.21302959755289,83048
